date,cpi_west
2000-01-01,172.3
2000-02-01,173.4
2000-03-01,174.9
2000-04-01,175.2
2000-05-01,175.5
2000-06-01,175.8
2000-07-01,176.8
2000-08-01,177.6
2000-09-01,178.4
2000-10-01,179.0
2000-11-01,178.8
2000-12-01,179.0
2001-01-01,180.1
2001-02-01,181.3
2001-03-01,182.0
2001-04-01,182.5
2001-05-01,183.4
2001-06-01,184.4
2001-07-01,184.2
2001-08-01,184.1
2001-09-01,184.7
2001-10-01,184.6
2001-11-01,184.3
2001-12-01,183.5
2002-01-01,184.4
2002-02-01,185.4
2002-03-01,186.2
2002-04-01,187.2
2002-05-01,187.5
2002-06-01,187.2
2002-07-01,187.4
2002-08-01,187.9
2002-09-01,188.2
2002-10-01,188.4
2002-11-01,188.4
2002-12-01,188.0
2003-01-01,189.2
2003-02-01,190.9
2003-03-01,192.1
2003-04-01,191.7
2003-05-01,191.2
2003-06-01,190.9
2003-07-01,190.9
2003-08-01,191.7
2003-09-01,192.3
2003-10-01,191.9
2003-11-01,191.0
2003-12-01,190.6
2004-01-01,191.7
2004-02-01,193.2
2004-03-01,194.5
2004-04-01,194.6
2004-05-01,195.9
2004-06-01,195.9
2004-07-01,195.4
2004-08-01,195.5
2004-09-01,196.4
2004-10-01,197.5
2004-11-01,197.6
2004-12-01,196.5
2005-01-01,196.7
2005-02-01,198.3
2005-03-01,199.8
2005-04-01,201.3
2005-05-01,201.5
2005-06-01,200.5
2005-07-01,201.3
2005-08-01,202.4
2005-09-01,204.5
2005-10-01,205.4
2005-11-01,204.2
2005-12-01,203.0
2006-01-01,204.7
2006-02-01,205.7
2006-03-01,206.8
2006-04-01,208.6
2006-05-01,210.3
2006-06-01,209.5
2006-07-01,210.0
2006-08-01,210.7
2006-09-01,211.3
2006-10-01,210.5
2006-11-01,209.7
2006-12-01,209.6
2007-01-01,211.102
2007-02-01,212.549
2007-03-01,214.393
2007-04-01,215.54
2007-05-01,216.64
2007-06-01,215.901
2007-07-01,215.855
2007-08-01,215.825
2007-09-01,216.429
2007-10-01,217.314
2007-11-01,218.196
2007-12-01,218.02
2008-01-01,219.036
2008-02-01,219.799
2008-03-01,221.997
2008-04-01,222.689
2008-05-01,224.704
2008-06-01,226.767
2008-07-01,227.562
2008-08-01,226.541
2008-09-01,225.91
2008-10-01,224.967
2008-11-01,220.925
2008-12-01,218.698
2009-01-01,219.806
2009-02-01,220.955
2009-03-01,221.124
2009-04-01,221.79
2009-05-01,222.659
2009-06-01,223.908
2009-07-01,223.498
2009-08-01,224.072
2009-09-01,224.412
2009-10-01,224.372
2009-11-01,223.489
2009-12-01,223.058
2010-01-01,223.852
2010-02-01,223.989
2010-03-01,224.636
2010-04-01,225.04
2010-05-01,225.571
2010-06-01,225.291
2010-07-01,225.574
2010-08-01,225.79
2010-09-01,225.726
2010-10-01,226.058
2010-11-01,225.847
2010-12-01,226.112
2011-01-01,227.281
2011-02-01,228.444
2011-03-01,230.707
2011-04-01,231.808
2011-05-01,232.393
2011-06-01,232.01
2011-07-01,231.666
2011-08-01,232.219
2011-09-01,233.221
2011-10-01,233.259
2011-11-01,232.851
2011-12-01,232.106
2012-01-01,233.044
2012-02-01,234.173
2012-03-01,236.249
2012-04-01,236.631
2012-05-01,237.215
2012-06-01,236.926
2012-07-01,236.28
2012-08-01,237.607
2012-09-01,238.684
2012-10-01,239.901
2012-11-01,237.673
2012-12-01,236.364
2013-01-01,237.45
2013-02-01,239.34
2013-03-01,240.269
2013-04-01,240.115
2013-05-01,240.64
2013-06-01,241.033
2013-07-01,240.996
2013-08-01,241.088
2013-09-01,241.884
2013-10-01,241.902
2013-11-01,240.931
