date,home_price_index
2000-01-01,132.0
2000-04-01,132.84
2000-07-01,133.92
2000-10-01,135.27
2001-01-01,138.77
2001-04-01,140.08
2001-07-01,141.24
2001-10-01,142.5
2002-01-01,144.13
2002-04-01,145.4
2002-07-01,147.72
2002-10-01,148.72
2003-01-01,149.91
2003-04-01,151.23
2003-07-01,153.01
2003-10-01,156.89
2004-01-01,158.63
2004-04-01,163.1
2004-07-01,169.33
2004-10-01,173.46
2005-01-01,178.67
2005-04-01,188.54
2005-07-01,199.44
2005-10-01,208.29
2006-01-01,216.02
2006-04-01,224.79
2006-07-01,230.88
2006-10-01,235.02
2007-01-01,238.08
2007-04-01,240.75
2007-07-01,240.01
2007-10-01,241.28
2008-01-01,240.2
2008-04-01,235.96
2008-07-01,227.47
2008-10-01,223.88
2009-01-01,222.63
2009-04-01,213.21
2009-07-01,205.94
2009-10-01,203.59
2010-01-01,200.38
2010-04-01,197.36
2010-07-01,197.83
2010-10-01,195.15
2011-01-01,187.32
2011-04-01,182.13
2011-07-01,183.05
2011-10-01,185.38
2012-01-01,181.89
2012-04-01,181.05
2012-07-01,185.53
2012-10-01,189.11
2013-01-01,191.14
2013-04-01,197.11
2013-07-01,203.82
2013-10-01,206.47
2014-01-01,210.59
2014-04-01,217.84
2014-07-01,221.84
2014-10-01,224.5
2015-01-01,228.21
2015-04-01,236.67
2015-07-01,245.73
2015-10-01,250.64
2016-01-01,256.91
2016-04-01,266.77
2016-07-01,275.2
2016-10-01,279.28
2017-01-01,283.49
2017-04-01,291.78
2017-07-01,297.37
2017-10-01,298.23
2018-01-01,302.22
2018-04-01,309.55
2018-07-01,311.58
2018-10-01,310.7
2019-01-01,313.81
2019-04-01,318.08
2019-07-01,321.22
2019-10-01,323.45
2020-01-01,326.45
2020-04-01,329.93
2020-07-01,336.01
2020-10-01,344.02
2021-01-01,353.58
2021-04-01,376.06
2021-07-01,397.83
2021-10-01,407.36
2022-01-01,420.39
2022-04-01,446.07
2022-07-01,437.67
2022-10-01,423.15
2023-01-01,421.96
2023-04-01,436.37
2023-07-01,434.88
2023-10-01,425.91
2024-01-01,432.44
2024-04-01,441.5
2024-07-01,441.31
2024-10-01,441.33
2025-01-01,444.17
2025-04-01,451.15
2025-07-01,449.38
2025-10-01,449.3
